id,member_id,loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status_joint,loan_status,pymnt_plan,dti,open_acc,total_acc,initial_list_status,out_prncp,total_pymnt,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,last_pymnt_amnt,application_type,annual_inc_joint,dti_joint,inter_rate
1077501,1296599,5000,5000,1,10.65,162.87,2,7,10,6,24000,3,6,1,27.65,3,9,1,0,5861.071414,5000,861.07,0,0,171.62,1,0,0,10
1077430,1314167,2500,2500,2,15.27,59.83,3,14,1,6,30000,2,1,1,1,3,4,1,0,1008.71,456.46,435.17,0,117.08,119.66,1,0,0,15
1077175,1313524,2400,2400,1,15.96,84.33,3,15,10,6,12252,1,6,1,8.72,2,10,1,0,3003.653644,2400,603.65,0,0,649.91,1,0,0,15
1076863,1277178,10000,10000,1,13.49,339.31,3,11,10,6,49200,2,6,1,20,10,37,1,0,12226.30221,10000,2209.33,16.97,0,357.48,1,0,0,13
1075358,1311748,3000,3000,2,12.69,67.79,2,10,1,6,80000,2,2,1,17.94,15,38,1,766.9,3242.17,2233.1,1009.07,0,0,67.79,1,0,0,12
1075269,1311441,5000,5000,1,7.9,156.46,1,4,3,6,36000,2,6,1,11.2,9,12,1,0,5631.377753,5000,631.38,0,0,161.03,1,0,0,7
1069639,1304742,7000,7000,2,15.96,170.08,3,15,8,6,47004,1,2,1,23.51,7,11,1,1889.15,8136.84,5110.85,3025.99,0,0,170.08,1,0,0,15
1072053,1288686,3000,3000,1,18.64,109.43,5,21,9,6,48000,2,6,1,5.35,4,4,1,0,3938.144334,3000,938.14,0,0,111.34,1,0,0,18
1071795,1306957,5600,5600,2,21.28,152.39,6,27,4,5,40000,2,1,1,5.55,11,13,1,0,646.02,162.02,294.94,0,189.06,152.39,1,0,0,21
1071570,1306721,5375,5375,2,12.69,121.45,2,10,1,6,15000,3,1,1,18.08,2,3,1,0,1476.19,673.48,533.42,0,269.29,121.45,1,0,0,12
1070078,1305201,6500,6500,2,14.65,153.45,3,13,5,5,72000,1,6,1,16.12,14,23,1,0,7677.52,6500,1177.52,0,0,1655.54,1,0,0,14
1069908,1305008,12000,12000,1,12.69,402.54,2,10,10,5,75000,2,6,1,10.78,12,34,1,0,13943.08,12000,1943.08,0,0,6315.3,1,0,0,12
1064687,1298717,9000,9000,1,13.49,305.38,3,11,1,6,30000,2,1,1,10.08,4,9,1,0,2270.7,1256.14,570.26,0,444.3,305.38,1,0,0,13
1069866,1304956,3000,3000,1,9.91,96.68,2,6,3,6,15000,2,6,1,12.56,11,11,1,0,3478.981915,3000,478.98,0,0,102.43,1,0,0,9
1069057,1303503,10000,10000,1,10.65,325.74,2,7,3,6,100000,2,1,1,7.06,14,29,1,0,7471.99,5433.47,1393.42,0,645.1,325.74,1,0,0,10
1069759,1304871,1000,1000,1,16.29,35.31,4,16,1,6,28000,1,6,1,20.31,11,23,1,0,1270.171106,1000,270.17,0,0,36.32,1,0,0,16
1065775,1299699,10000,10000,1,15.27,347.98,3,14,4,6,42000,1,6,1,18.6,14,28,1,0,12519.26045,10000,2519.26,0,0,370.46,1,0,0,15
1069971,1304884,3600,3600,1,6.03,109.57,1,1,10,2,110000,1,6,1,10.52,20,42,1,0,3785.02,3600,185.02,0,0,583.45,1,0,0,6
1062474,1294539,6000,6000,1,11.71,198.46,2,8,1,2,84000,3,6,1,18.44,4,14,1,0,7164.499852,6000,1149.5,15,0,16.98,1,0,0,11
1069742,1304855,9200,9200,1,6.03,280.01,1,1,6,6,77385.19,1,6,1,9.86,8,28,1,0,9459.96,9200,259.96,0,0,8061.1,1,0,0,6
1069740,1284848,20250,20250,2,15.27,484.63,3,14,3,6,43370,3,6,1,26.53,8,22,1,0,27663.04267,20250,7413.04,0,0,6024.09,1,0,0,15
1039153,1269083,21000,21000,1,12.42,701.73,2,9,10,6,105000,3,1,1,13.22,7,38,1,0,14025.4,10694.96,3330.44,0,0,701.73,1,0,0,12
1069710,1304821,10000,10000,1,11.71,330.76,2,8,10,5,50000,2,6,1,11.18,8,21,1,0,11902.56157,10000,1902.56,0,0,349.21,1,0,0,11
1069700,1304810,10000,10000,1,11.71,330.76,2,8,5,6,50000,1,6,1,16.01,6,17,1,0,11536.31,10000,1536.31,0,0,4942.63,1,0,0,11
1069559,1304634,6000,6000,1,11.71,198.46,2,8,1,6,76000,1,1,1,2.4,7,7,1,0,2050.14,1305.58,475.25,0,269.31,198.46,1,0,0,11
1069697,1273773,15000,15000,1,9.91,483.38,2,6,2,2,92000,3,6,1,29.44,8,31,1,0,15823.48,15000,823.48,0,0,2447.05,1,0,0,9
1069800,1304679,15000,15000,1,14.27,514.64,3,12,9,6,60000,1,1,1,15.22,7,11,1,0,0,0,0,0,0,0,1,0,0,14
1069657,1304764,5000,5000,2,16.77,123.65,4,17,2,6,50004,1,1,1,13.97,14,22,1,0,1609.12,629.05,719.11,0,260.96,123.65,1,0,0,16
1069799,1304678,4000,4000,1,11.71,132.31,2,8,10,2,106000,1,6,1,5.63,12,44,1,0,4484.79,4000,484.79,0,0,2638.77,1,0,0,11
1047704,1278806,8500,8500,1,11.71,281.15,2,8,1,6,25000,2,6,1,12.19,8,12,1,0,10122.20861,8500,1622.21,0,0,581.59,1,0,0,11
1032111,1261745,4375,4375,1,7.51,136.11,1,3,7,2,17108,2,6,1,20.34,6,12,1,0,4898.543558,4375,523.54,0,0,144.94,1,0,0,7
1069539,1304608,31825,31825,1,7.9,995.82,1,4,5,2,75000,3,6,1,14.03,12,26,1,0,34886.08,31825,3061.08,0,0,16966.7,1,0,0,7
1065420,1299514,10000,10000,2,15.96,242.97,3,15,2,6,29120,3,2,1,22.83,11,31,1,2695.31,11622.36,7304.67,4317.69,0,0,242.97,1,0,0,15
1069591,1304289,5000,5000,1,8.9,158.77,1,5,2,6,24044,3,6,1,11.93,8,16,1,0,5714.592129,5000,714.59,0,0,163.64,1,0,0,8
1069530,1291365,7000,7000,1,15.96,245.97,3,15,7,6,34000,2,6,1,6.35,6,6,1,0,8848.94043,7000,1848.94,0,0,260.74,1,0,0,15
1069522,1304589,12400,12400,1,10.65,403.91,2,7,10,6,41000,1,6,1,11.8,9,12,1,0,14537.45953,12400,2137.46,0,0,417.61,1,0,0,10
1069361,1304255,10800,10800,1,9.91,348.03,2,6,2,6,55596,2,6,1,5.5,7,18,1,0,12157.2,10800,1357.2,0,0,3483.79,1,0,0,9
1069357,1304251,15000,15000,1,7.9,469.36,1,4,1,6,45000,3,6,1,8.48,7,27,1,0,16662.6,15000,1662.6,0,0,5872.8,1,0,0,7
1069356,1304250,6000,6000,1,12.42,200.5,2,9,1,6,36852,2,6,1,10.62,7,12,1,0,7125.283165,6000,1125.28,0,0,1923.53,1,0,0,12
1069346,1304237,12500,12500,2,12.69,282.44,2,10,1,6,27000,3,2,1,16.04,6,24,1,3193.13,13506.54,9306.87,4199.67,0,0,282.44,1,0,0,12
1067573,1301955,9600,9600,1,7.51,298.67,1,3,4,6,68004,2,6,1,6.63,6,11,1,0,10749.76265,9600,1149.76,0,0,311.56,1,0,0,7
1069506,1304567,12000,12000,1,7.9,375.49,1,4,10,6,62300,1,6,1,16.7,15,25,1,0,13516.38296,12000,1516.38,0,0,380.98,1,0,0,7
1069314,1304202,3000,3000,1,18.25,108.84,4,20,9,2,65000,1,6,1,17.39,8,22,1,0,3915.027595,3000,915.03,0,0,115.38,1,0,0,18
1060578,1292332,4400,4400,1,16.77,156.37,4,17,10,6,55000,1,6,1,20.01,7,11,1,0,5626.892655,4400,1226.89,0,0,162.44,1,0,0,16
1069469,1304526,6000,6000,1,6.03,182.62,1,1,10,2,45600,1,6,1,5.34,6,28,1,0,6065.86,6000,65.86,0,0,15.01,1,0,0,6
1051117,1282787,14000,14000,1,9.91,451.15,2,6,6,6,80000,1,6,1,10,7,40,1,0,16239.91413,14000,2239.91,0,0,457.91,1,0,0,9
1069465,1304521,5000,5000,1,8.9,158.77,1,5,10,2,100000,2,1,1,16.33,17,35,1,0,5021.37,4217.38,696.99,0,107,158.77,1,0,0,8
1069283,1304166,10000,10000,1,10.65,325.74,2,7,6,6,27000,3,6,1,11.47,7,10,1,0,11724.56774,10000,1724.57,0,0,332.92,1,0,0,10
1069287,1304171,10000,10000,1,6.03,304.36,1,1,10,6,60000,1,6,1,12.74,11,18,1,0,10282.67,10000,282.67,0,0,8762.05,1,0,0,6
1069453,1303701,11000,11000,1,6.62,337.75,1,2,5,6,70000,1,6,1,10.85,5,7,1,0,12157.38005,11000,1157.38,0,0,346.13,1,0,0,6
1069248,1304123,15000,15000,1,9.91,483.38,2,6,8,2,80000,1,1,1,9.12,9,28,1,0,16177.77,13556.45,2374.34,24.17,222.81,483.38,1,0,0,9
1068120,1302485,25600,25600,1,9.91,824.96,2,6,9,6,110000,3,6,1,15.71,11,27,1,0,29695.62268,25600,4095.62,0,0,838.27,1,0,0,9
1069244,1304117,7000,7000,1,10.65,228.02,2,7,1,6,40000,1,6,1,7.38,7,12,1,0,8205.473816,7000,1205.47,0,0,240.27,1,0,0,10
1069243,1304116,12000,12000,1,15.96,421.65,3,15,4,6,50000,1,1,1,20.88,11,11,1,0,3521.95,1903.66,1039.35,0,578.94,421.65,1,0,0,15
1069238,1303909,12000,12000,1,9.91,386.7,2,6,1,6,46000,1,6,1,8.11,11,12,1,0,13748.21311,12000,1748.21,0,0,964.73,1,0,0,9
1069410,1303652,21000,21000,2,19.91,555.33,5,24,7,6,50000,3,1,1,21.58,7,14,1,0,18319.14,8990.81,9328.33,0,0,555.33,1,0,0,19
1068409,1302790,16000,16000,2,19.91,423.11,5,24,7,6,81000,3,6,1,20.52,12,21,1,0,20876.1,16000,4876.1,0,0,9931.02,1,0,0,19
1068487,1302882,10000,10000,1,12.42,334.16,2,9,1,5,39000,1,6,1,18.58,5,10,1,0,11474.76,10000,1474.76,0,0,5803.94,1,0,0,12
1043961,1274517,10000,10000,1,10.65,325.74,2,7,2,6,51400,1,6,1,19.14,10,24,1,0,10575.94,10000,575.94,0,0,8627.74,1,0,0,10
1068945,1287308,7100,7100,1,16.77,252.33,4,17,1,2,33000,3,6,1,24,4,8,1,0,9079.334843,7100,1979.33,0,0,262.78,1,0,0,16
1069142,1287810,13000,13000,2,12.69,293.74,2,10,1,2,30000,2,6,1,13.72,17,27,1,0,17402.23999,13000,4402.24,0,0,3596.46,1,0,0,12
1068934,1277395,17500,8950,2,17.27,223.74,4,18,6,6,40000,3,2,1,19.47,5,6,1,2462.25,10713.52,6487.75,4225.77,0,0,223.74,1,0,0,17
1069136,1278095,17675,17675,2,14.65,417.25,3,13,1,6,50000,2,6,1,16.46,6,14,1,0,21323.43,17675,3648.43,0,0,13814.81,1,0,0,14
1068923,1303549,8000,8000,1,16.77,284.31,4,17,1,6,62000,1,6,1,21.64,14,20,1,0,10267.26214,8000,2252.27,14.98883533,0,606.54,1,0,0,16
1069126,1303778,10000,10000,2,10.65,215.69,2,7,10,6,45996,3,1,1,21.73,7,15,1,0,8772.91,5495.38,2429.23,1,847.3,1,1,0,0,10
1069102,1303750,3500,3500,1,10.65,114.01,2,7,7,2,55000,1,6,1,5.39,9,12,1,0,4103.168128,3500,603.17,0,0,118.32,1,0,0,10
1069093,1303740,12500,8925,2,17.27,223.11,4,18,5,6,30000,2,1,1,13.16,7,28,1,0,5577.75,2812.82,2742.43,0,22.5,223.11,1,0,0,17
1069030,1303473,16425,16425,1,14.27,563.53,3,12,4,6,44544,2,6,1,22.71,10,18,1,0,18172.71,16425,1747.71,0,0,13108.71,1,0,0,14
1068906,1303528,8200,8200,2,21.28,223.14,6,27,4,6,75000,2,1,1,12.48,6,11,1,0,4173.57,1525.83,2265.85,0,381.89,223.14,1,0,0,21
1069073,1303718,15000,15000,1,14.65,517.42,3,13,2,5,61000,3,6,1,11.88,8,18,1,0,18562.40042,15000,3562.4,0,0,2533.38,1,0,0,14
1069043,1303486,20975,13575,2,17.58,341.63,4,19,5,2,44000,3,6,1,18.79,13,21,1,0,18097.34458,13575,4522.34,0,0,9245.21,1,0,0,17
1060981,1292558,6400,6400,1,16.77,227.45,4,17,5,6,75000,1,1,1,20.22,9,27,1,0,4776.45,3334.25,1431.91,0,10.29,227.45,1,0,0,16
1069071,1303716,3000,3000,1,13.49,101.8,3,11,1,6,33600,1,6,1,18.11,4,7,1,0,3246.8,3000,246.8,0,0,2539.58,1,0,0,13
1069070,1299004,12000,12000,1,16.77,426.47,4,17,3,6,50000,1,6,1,20.57,13,19,1,0,15346.46687,12000,3346.47,0,0,441.52,1,0,0,16
1068893,1303514,14400,14400,1,8.9,457.25,1,5,1,5,150000,2,6,1,14.85,12,38,1,0,16459.51914,14400,2059.52,0,0,464.02,1,0,0,8
1068882,1303303,12000,12000,1,14.65,413.94,3,13,10,6,90000,1,6,1,16.56,12,36,1,0,12699.48,12000,699.48,0,0,11046.6,1,0,0,14
1069039,1303482,11000,11000,1,13.49,373.24,3,11,10,2,48000,3,6,1,21.82,15,29,1,0,13413.21605,11000,2413.22,0,0,1491.29,1,0,0,13
1068416,1302799,7250,7200,2,21.67,197.51,6,28,1,6,75000,3,6,1,24.82,9,19,1,0,8201.53,7200,1001.53,0,0,6824.7,1,0,0,21
1068997,1303437,15000,15000,1,7.9,469.36,1,4,1,2,52000,1,6,1,9.65,11,29,1,0,15557.64,15000,557.64,0,0,312.74,1,0,0,7
1048390,1279714,18000,18000,2,19.91,475.99,5,24,10,2,65000,1,6,1,6.81,10,40,1,0,26027.53964,18000,8003.76,23.78149961,0,10783.73,1,0,0,19
1068994,1303432,35000,22075,2,17.27,551.84,4,18,3,2,150000,3,6,1,7.51,11,31,1,0,28871.92,22075,6796.92,0,0,15660.22,1,0,0,17
1068475,1302869,10000,10000,1,14.27,343.09,3,12,2,6,68000,2,6,1,15.39,9,15,1,0,10671.62,10000,671.62,0,0,8962.31,1,0,0,14
1068989,1282013,11800,11800,1,12.69,395.83,2,10,6,6,42000,2,6,1,9.86,4,13,1,0,14243.15837,11800,2443.16,0,0,419.36,1,0,0,12
1068967,1303403,4500,4500,1,6.03,136.96,1,1,4,6,53000,2,6,1,4.44,7,17,1,0,4930.30217,4500,430.3,0,0,138.95,1,0,0,6
1068744,1303379,7000,7000,1,12.69,234.82,2,10,10,6,35000,2,6,1,11.35,10,26,1,0,8449.394742,7000,1449.39,0,0,248.19,1,0,0,12
1045509,1276120,9200,9200,1,12.42,307.43,2,9,2,6,60000,2,6,1,19.96,8,19,1,0,10480.84,9200,1280.84,0,0,365.48,1,0,0,12
1063958,1297940,14000,14000,2,17.27,349.98,4,18,4,6,28000,3,2,1,6.34,5,10,1,3842.41,16777.04,10157.6,6619.44,0,0,349.98,1,0,0,17
1041756,1272024,4500,4500,2,10.65,97.06,2,7,1,2,42000,2,6,1,5.4,4,9,1,0,4907.8,4500,407.8,0,0,3946.24,1,0,0,10
1068694,1303326,12000,12000,1,16.29,423.61,4,16,9,6,88365,3,6,1,16.85,6,15,1,0,14685.36,12000,2685.36,0,0,5800.45,1,0,0,16
1068792,1303200,12000,12000,1,13.49,407.17,3,11,4,6,72000,2,6,1,21.33,11,19,1,0,13985.67622,12000,1985.68,0,0,426.26,1,0,0,13
1068558,1303163,12000,12000,1,10.65,390.88,2,7,1,6,62000,3,6,1,23.94,10,51,1,0,12779.62,12000,779.62,0,0,10046.57,1,0,0,10
